,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
6,,,,,,,,,,7.0000E+00 7.6460E+00 1.1101E-02 6.8848E-03 8.0037E-03 7.5321E-03 3.2123E-03 7.5177E-03 6.9199E-03 6.9527E-03 5.7331E-03 7.2875E-03 6.6089E-03 1.1859E-02 9.7861E-03 1.2500E-02 1.2131E-02 1.4277E-02 1.1568E-02 7.7855E-03 7.9979E-03 7.1736E-03,,,,,,,,
7,,,,,,,,,,8.0000E+00 8.8220E+00 1.4965E-02 1.0382E-02 5.6795E-03 6.7445E-03 3.2323E-03 4.5957E-03 8.3478E-03 9.0936E-03 1.2039E-02 8.9430E-03 9.4420E-03 6.9574E-03 4.7583E-03 8.2460E-03 5.5207E-03 8.2521E-03 5.0263E-03 6.4957E-03 4.9893E-03 6.9847E-03,,,,,,,,
8,,,,,,,,,,9.0000E+00 9.9990E+00 9.5846E-03 6.2521E-03 7.1698E-03 5.4507E-03 6.6463E-03 8.2583E-03 6.9188E-03 3.8110E-03 6.5228E-03 6.9115E-03 1.3078E-02 4.7909E-03 8.7632E-03 8.3781E-03 6.9504E-03 8.3063E-03 1.1748E-02 1.3927E-02 1.0221E-02 6.4814E-03,,,,,,,,
9,,,,,,,,,,1.0000E+01 1.1170E+01 8.5911E-03 1.2559E-02 1.1520E-02 7.3346E-03 8.7030E-03 5.1566E-03 8.9252E-03 8.6782E-03 6.8245E-03 7.7093E-03 6.6775E-03 9.9412E-03 1.2752E-02 4.8161E-03 4.4960E-03 8.5147E-03 7.7048E-03 1.0911E-02 9.0773E-03 8.5619E-03,,,,,,,,
10,,,,,,,,,,1.1000E+01 1.2350E+01 1.4074E-02 1.0626E-02 9.2233E-03 4.9461E-03 5.3686E-03 7.1448E-03 6.5912E-03 7.8371E-03 6.2643E-03 9.9481E-03 3.5576E-03 9.3707E-03 1.1001E-02 7.9645E-03 1.2685E-02 7.3230E-03 9.1621E-03 1.0046E-02 7.9626E-03 8.7543E-03,,,,,,,,
11,,,,,,,,,,1.2000E+01 1.3530E+01 8.7041E-03 1.0077E-02 4.7667E-03 4.7977E-03 4.0977E-03 5.1337E-03 6.3004E-03 8.2334E-03 7.4267E-03 9.2483E-03 1.1059E-02 1.0694E-02 1.0655E-02 9.9454E-03 7.8508E-03 8.1210E-03 1.0660E-02 7.7320E-03 6.6408E-03 8.2612E-03,,,,,,,,
12,,,,,,,,,,1.3000E+01 1.4700E+01 5.3797E-03 9.4126E-03 8.2779E-03 4.0190E-03 5.3250E-03 5.0552E-03 9.7514E-03 8.3239E-03 1.3018E-02 7.9238E-03 6.6823E-03 8.1704E-03 7.8711E-03 8.2658E-03 1.0370E-02 1.1746E-02 9.0649E-03 5.6716E-03 4.5063E-03 6.3328E-03,,,,,,,,
13,,,,,,,,,,1.4000E+01 1.5880E+01 8.1942E-03 9.6345E-03 9.8301E-03 4.5067E-03 6.6129E-03 6.0405E-03 5.7010E-03 6.7891E-03 5.5590E-03 9.3420E-03 5.6102E-03 3.0764E-03 8.5815E-03 1.0590E-02 1.1342E-02 5.3888E-03 9.1144E-03 6.2599E-03 8.4705E-03 1.0143E-02,,,,,,,,
14,,,,,,,,,,1.5000E+01 1.7060E+01 8.8951E-03 1.2137E-02 1.0035E-02 5.0383E-03 4.9228E-03 7.2519E-03 3.6135E-03 5.1756E-03 5.8785E-03 5.4733E-03 3.5432E-03 6.4045E-03 5.1834E-03 8.5407E-03 9.6069E-03 7.4959E-03 5.5351E-03 5.6576E-03 6.3179E-03 7.2621E-03,,,,,,,,
15,,,,,,,,,,1.6000E+01 1.8230E+01 6.4553E-03 1.1151E-02 8.9195E-03 1.0946E-02 4.9301E-03 6.1437E-03 3.9618E-03 8.6908E-03 6.5712E-03 6.6820E-03 7.2466E-03 9.1031E-03 1.2022E-02 8.9378E-03 7.2525E-03 4.7189E-03 7.8413E-03 1.0279E-02 9.5855E-03 2.8339E-03,,,,,,,,
16,,,,,,,,,,1.7000E+01 1.9410E+01 1.1768E-02 1.1408E-02 9.4939E-03 1.4441E-02 6.4210E-03 7.1548E-03 4.6542E-03 5.2040E-03 5.0766E-03 4.5841E-03 9.7268E-03 8.6639E-03 6.2125E-03 4.1396E-03 7.8354E-03 8.1987E-03 9.9699E-03 7.6320E-03 5.8338E-03 5.4447E-03,,,,,,,,
17,,,,,,,,,,1.8000E+01 2.0590E+01 1.3882E-02 9.2445E-03 8.4266E-03 6.7259E-03 7.4830E-03 6.6435E-03 5.9420E-03 6.7741E-03 4.8140E-03 5.4091E-03 5.0369E-03 7.9409E-03 9.1598E-03 3.4835E-03 7.1445E-03 6.9990E-03 7.7570E-03 1.0571E-02 1.1990E-02 7.8087E-03,,,,,,,,
18,,,,,,,,,,1.9000E+01 2.1760E+01 7.3924E-03 9.3326E-03 1.2144E-02 9.6855E-03 6.0560E-03 5.4904E-03 5.9320E-03 5.6224E-03 6.4340E-03 6.2468E-03 5.1843E-03 5.5510E-03 7.9487E-03 8.4810E-03 8.7922E-03 5.2709E-03 3.0872E-03 7.4237E-03 8.2515E-03 4.9098E-03,,,,,,,,
19,,,,,,,,,,2.0000E+01 2.2940E+01 1.0789E-02 1.0127E-02 7.4853E-03 5.7547E-03 1.0060E-02 4.6800E-03 7.2933E-03 4.7922E-03 6.5385E-03 3.2623E-03 5.6730E-03 8.2345E-03 5.2666E-03 4.8713E-03 5.6355E-03 6.0141E-03 5.7315E-03 1.4681E-02 3.5962E-03 6.8554E-03,,,,,,,,
20,,,,,,,,,,2.1000E+01 2.4110E+01 8.1985E-03 5.6236E-03 8.3961E-03 6.8494E-03 9.3172E-03 9.3838E-03 5.5456E-03 3.5667E-03 7.3757E-03 3.4667E-03 3.7255E-03 7.7582E-03 5.6225E-03 5.5532E-03 8.6843E-03 7.4154E-03 9.1663E-03 7.0333E-03 6.9833E-03 8.0424E-03,,,,,,,,
21,,,,,,,,,,2.2000E+01 2.5290E+01 1.0470E-02 1.0431E-02 1.0335E-02 7.7485E-03 7.4120E-03 7.1744E-03 5.7293E-03 3.1441E-03 6.4711E-03 6.5257E-03 3.4336E-03 7.5641E-03 8.4420E-03 7.1355E-03 5.4052E-03 5.5031E-03 8.4212E-03 5.6230E-03 8.3139E-03 5.1336E-03,,,,,,,,
22,,,,,,,,,,2.3000E+01 2.6470E+01 1.0728E-02 4.7845E-03 4.3281E-03 5.3201E-03 5.6652E-03 1.2123E-02 2.5519E-03 5.3825E-03 5.4093E-03 7.5678E-03 7.3171E-03 6.2231E-03 7.1866E-03 6.3525E-03 5.0666E-03 4.6691E-03 7.9078E-03 9.0011E-03 8.8419E-03 7.5965E-03,,,,,,,,
23,,,,,,,,,,2.4000E+01 2.7640E+01 6.1471E-03 9.6862E-03 7.6129E-03 6.3055E-03 1.0304E-02 7.2423E-03 5.5653E-03 7.0055E-03 4.3347E-03 7.0686E-03 6.0599E-03 3.2090E-03 6.9532E-03 5.5040E-03 8.2035E-03 5.9625E-03 5.1991E-03 7.3372E-03 9.8853E-03 5.4947E-03,,,,,,,,
24,,,,,,,,,,2.5000E+01 2.8820E+01 8.3454E-03 6.7547E-03 6.7281E-03 1.0099E-02 7.3019E-03 7.6753E-03 6.0291E-03 5.5568E-03 5.8101E-03 7.6320E-03 5.5215E-03 5.9736E-03 8.8775E-03 5.1474E-03 4.6945E-03 4.0175E-03 4.5817E-03 6.6006E-03 8.9216E-03 7.2357E-03,,,,,,,,
25,,,,,,,,,,2.6000E+01 3.0000E+01 6.6095E-03 4.2812E-03 7.2744E-03 9.9321E-03 9.0927E-03 7.3874E-03 7.5792E-03 4.0978E-03 4.6709E-03 5.5513E-03 5.9971E-03 1.0056E-02 7.6604E-03 6.4062E-03 9.1942E-03 7.6964E-03 7.1656E-03 7.3930E-03 6.8302E-03 6.0131E-03,,,,,,,,
26,,,,,,,,,,2.7000E+01 3.1170E+01 1.1709E-02 1.0226E-02 5.4051E-03 8.5773E-03 7.3591E-03 4.4916E-03 5.9422E-03 6.9929E-03 4.1991E-03 6.2274E-03 7.4532E-03 4.8721E-03 5.5497E-03 1.2676E-02 4.7006E-03 9.2873E-03 6.1835E-03 1.0335E-02 1.0494E-02 1.0912E-02,,,,,,,,
27,,,,,,,,,,2.8000E+01 3.2350E+01 6.3413E-03 1.0625E-02 9.5514E-03 8.9368E-03 7.7953E-03 7.3507E-03 6.9146E-03 5.6124E-03 4.4571E-03 1.9118E-03 5.7186E-03 5.2677E-03 4.4780E-03 7.6975E-03 9.2781E-03 6.0851E-03 7.6408E-03 7.4649E-03 5.3380E-03 6.8709E-03,,,,,,,,
28,,,,,,,,,,2.9000E+01 3.3520E+01 1.0336E-02 1.0156E-02 8.8730E-03 1.1652E-02 1.0154E-02 9.7178E-03 6.0182E-03 5.3874E-03 5.0450E-03 5.1773E-03 4.5428E-03 3.6951E-03 2.4415E-03 6.4189E-03 5.9612E-03 1.0957E-02 9.7573E-03 9.2421E-03 6.0172E-03 6.8248E-03,,,,,,,,
29,,,,,,,,,,3.0000E+01 3.4700E+01 5.1515E-03 7.8243E-03 9.8451E-03 5.6965E-03 4.2962E-03 8.5052E-03 1.0548E-02 9.8045E-03 6.6392E-03 4.8560E-03 4.0140E-03 3.2115E-03 3.8192E-03 4.8585E-03 5.5317E-03 5.6323E-03 8.3368E-03 6.8323E-03 6.1390E-03 3.9246E-03,,,,,,,,
30,,,,,,,,,,3.1000E+01 3.5880E+01 6.5154E-03 5.2177E-03 6.7148E-03 7.5943E-03 7.6245E-03 7.9291E-03 7.5393E-03 7.0766E-03 5.8943E-03 2.6296E-03 3.1729E-03 3.8082E-03 5.9056E-03 5.9586E-03 4.8868E-03 5.3388E-03 9.5511E-03 6.9343E-03 4.0635E-03 5.0630E-03,,,,,,,,
31,,,,,,,,,,3.2000E+01 3.7050E+01 1.0633E-02 8.1870E-03 8.3702E-03 7.0421E-03 7.2870E-03 4.3867E-03 5.7021E-03 1.0090E-02 1.0990E-02 3.2498E-03 8.3040E-03 7.4377E-03 6.3838E-03 5.3015E-03 5.2722E-03 6.9017E-03 7.0210E-03 5.0171E-03 7.6274E-03 4.4322E-03,,,,,,,,
32,,,,,,,,,,3.3000E+01 3.8230E+01 1.0724E-02 1.2222E-02 8.3068E-03 7.5570E-03 6.5661E-03 7.9612E-03 9.3626E-03 7.8880E-03 1.0417E-02 5.6929E-03 3.6100E-03 2.5867E-03 4.1599E-03 4.7409E-03 5.7820E-03 5.1925E-03 3.0186E-03 5.4622E-03 5.7898E-03 7.3669E-03,,,,,,,,
33,,,,,,,,,,3.4000E+01 3.9410E+01 6.1009E-03 4.5847E-03 6.7726E-03 5.7552E-03 6.7768E-03 9.6151E-03 4.2023E-03 4.0963E-03 5.7862E-03 8.1187E-03 5.4953E-03 5.5000E-03 5.5344E-03 5.1412E-03 4.1702E-03 7.5774E-03 7.4836E-03 5.5202E-03 5.1903E-03 5.4018E-03,,,,,,,,
34,,,,,,,,,,3.5000E+01 4.0580E+01 8.8940E-03 9.7979E-03 7.8358E-03 9.4304E-03 8.3435E-03 8.2256E-03 9.1025E-03 6.8189E-03 9.1445E-03 8.1836E-03 8.6078E-03 3.9245E-03 3.4424E-03 4.7826E-03 4.8277E-03 5.7600E-03 5.9604E-03 6.7197E-03 4.9392E-03 1.1442E-02,,,,,,,,
35,,,,,,,,,,3.6000E+01 4.1760E+01 7.9350E-03 1.0016E-02 5.0466E-03 7.4410E-03 8.2776E-03 8.8700E-03 1.0493E-02 1.1543E-02 1.0382E-02 1.1851E-02 5.5328E-03 6.9971E-03 6.7836E-03 4.9128E-03 5.8974E-03 4.1809E-03 8.9495E-03 1.0201E-02 4.8859E-03 4.9292E-03,,,,,,,,
36,,,,,,,,,,3.7000E+01 4.2930E+01 4.9639E-03 4.6480E-03 7.5445E-03 9.8097E-03 8.8668E-03 8.4141E-03 1.3036E-02 1.3536E-02 1.2258E-02 7.9851E-03 9.6227E-03 7.7583E-03 5.4123E-03 5.2850E-03 4.6168E-03 6.6286E-03 6.1113E-03 6.3093E-03 9.6209E-03 5.3275E-03,,,,,,,,
37,,,,,,,,,,3.8000E+01 4.4110E+01 7.2747E-03 5.3164E-03 5.7706E-03 4.0681E-03 4.1874E-03 9.1425E-03 8.1060E-03 8.0511E-03 9.6026E-03 7.8228E-03 7.6413E-03 4.6731E-03 5.4759E-03 5.8747E-03 5.1191E-03 4.0714E-03 6.8362E-03 8.1378E-03 4.9813E-03 8.3157E-03,,,,,,,,
38,,,,,,,,,,3.9000E+01 4.5290E+01 8.6974E-03 4.5652E-03 4.7829E-03 9.9878E-03 8.3024E-03 9.5773E-03 8.5583E-03 8.0878E-03 9.5625E-03 7.7794E-03 5.0136E-03 6.9115E-03 5.6153E-03 6.2375E-03 7.1596E-03 4.7843E-03 6.9778E-03 6.4913E-03 8.0764E-03 7.5798E-03,,,,,,,,
39,,,,,,,,,,4.0000E+01 4.6460E+01 8.0287E-03 9.5613E-03 9.4859E-03 9.6747E-03 4.3325E-03 6.6969E-03 5.5071E-03 5.7780E-03 7.0401E-03 9.1636E-03 9.6930E-03 6.1493E-03 8.4805E-03 4.5286E-03 6.4391E-03 5.8257E-03 5.1284E-03 4.2496E-03 7.4246E-03 4.5989E-03,,,,,,,,
40,,,,,,,,,,4.1000E+01 4.7640E+01 9.0548E-03 1.1415E-02 7.5529E-03 1.2190E-02 9.0083E-03 6.0037E-03 5.7945E-03 1.0549E-02 1.0018E-02 6.8143E-03 5.6399E-03 5.7259E-03 8.1694E-03 5.8131E-03 7.7887E-03 5.6639E-03 5.5195E-03 6.2764E-03 6.2513E-03 4.4440E-03,,,,,,,,
41,,,,,,,,,,4.2000E+01 4.8820E+01 9.4774E-03 1.0787E-02 8.5027E-03 6.4754E-03 8.5615E-03 8.6358E-03 7.3826E-03 5.7306E-03 4.0482E-03 6.7247E-03 5.1646E-03 4.2309E-03 8.5566E-03 5.7226E-03 3.9625E-03 5.1219E-03 6.5849E-03 5.0892E-03 8.1595E-03 6.0983E-03,,,,,,,,
42,,,,,,,,,,4.3000E+01 4.9990E+01 9.9166E-03 7.1044E-03 9.2171E-03 9.9400E-03 8.5956E-03 5.3288E-03 8.6250E-03 9.1156E-03 1.0300E-02 5.7008E-03 1.0522E-02 1.1521E-02 1.0851E-02 8.7765E-03 6.7141E-03 4.9019E-03 4.1847E-03 6.9773E-03 8.7590E-03 8.5771E-03,,,,,,,,
43,,,,,,,,,,4.4000E+01 5.1170E+01 8.7018E-03 6.8792E-03 7.8681E-03 7.3521E-03 6.7202E-03 6.8815E-03 4.0697E-03 4.3012E-03 6.8409E-03 6.2417E-03 8.3099E-03 9.0081E-03 7.5403E-03 9.1813E-03 4.0052E-03 2.9668E-03 5.0019E-03 5.8647E-03 5.9909E-03 5.7410E-03,,,,,,,,
44,,,,,,,,,,4.5000E+01 5.2350E+01 7.5417E-03 8.4580E-03 5.0452E-03 7.7832E-03 1.2218E-02 1.0960E-02 1.2151E-02 9.4075E-03 8.5435E-03 5.6909E-03 1.5252E-02 1.5273E-02 1.5783E-02 1.3750E-02 8.9196E-03 6.1838E-03 6.3173E-03 6.5589E-03 6.5828E-03 6.2728E-03,,,,,,,,
45,,,,,,,,,,4.6000E+01 5.3520E+01 8.1118E-03 8.5911E-03 8.3098E-03 9.1997E-03 8.7892E-03 1.0146E-02 1.0902E-02 1.2800E-02 1.0752E-02 8.9666E-03 4.8553E-03 5.6267E-03 8.4088E-03 7.4313E-03 9.0715E-03 4.9343E-03 4.0063E-03 6.5701E-03 6.3955E-03 4.2184E-03,,,,,,,,
46,,,,,,,,,,4.7000E+01 5.4700E+01 8.7028E-03 1.1530E-02 1.4064E-02 9.1484E-03 4.7541E-03 8.1652E-03 6.0120E-03 1.1539E-02 1.2191E-02 9.3512E-03 8.8210E-03 9.2905E-03 6.5156E-03 7.0319E-03 9.6436E-03 8.5459E-03 7.7236E-03 5.2689E-03 5.4552E-03 6.8389E-03,,,,,,,,
47,,,,,,,,,,4.8000E+01 5.5870E+01 7.1322E-03 8.3983E-03 5.8748E-03 8.8354E-03 8.3399E-03 9.9084E-03 8.7811E-03 7.1832E-03 5.3643E-03 5.7417E-03 6.5427E-03 6.8340E-03 4.0555E-03 7.9304E-03 6.0236E-03 1.0232E-02 6.4139E-03 6.2855E-03 5.4396E-03 4.7891E-03,,,,,,,,
48,,,,,,,,,,4.9000E+01 5.7050E+01 1.0414E-02 1.1726E-02 6.3042E-03 6.9920E-03 6.7979E-03 9.7586E-03 8.4528E-03 1.1541E-02 9.9960E-03 7.4714E-03 5.6662E-03 7.3975E-03 1.0006E-02 1.0083E-02 6.7157E-03 8.3693E-03 8.2795E-03 3.9056E-03 2.9278E-03 5.8675E-03,,,,,,,,
49,,,,,,,,,,5.0000E+01 5.8230E+01 4.5600E-03 8.8528E-03 1.2854E-02 1.1348E-02 7.0423E-03 7.9780E-03 1.1263E-02 1.1145E-02 5.1667E-03 6.0022E-03 1.1943E-02 1.2862E-02 8.8431E-03 9.6130E-03 1.2211E-02 1.4008E-02 7.2837E-03 4.4974E-03 7.5554E-03 3.2248E-03,,,,,,,,
50,,,,,,,,,,5.1000E+01 5.9400E+01 7.3641E-03 8.3472E-03 7.2032E-03 5.3211E-03 8.3080E-03 8.4926E-03 6.7364E-03 8.0556E-03 6.5854E-03 9.5077E-03 9.7940E-03 1.0543E-02 1.8455E-02 1.8845E-02 1.7668E-02 1.2068E-02 1.0239E-02 8.8362E-03 8.7991E-03 8.4514E-03,,,,,,,,
51,,,,,,,,,,5.2000E+01 6.0580E+01 7.4241E-03 7.8217E-03 1.1331E-02 9.8779E-03 8.2728E-03 7.7261E-03 5.8057E-03 5.3730E-03 1.1930E-02 1.2300E-02 1.4072E-02 9.2557E-03 8.2993E-03 5.5364E-03 6.9788E-03 1.1816E-02 1.2854E-02 8.3987E-03 6.2936E-03 6.0754E-03,,,,,,,,
52,,,,,,,,,,5.3000E+01 6.1760E+01 7.0745E-03 1.1695E-02 1.3430E-02 1.0869E-02 1.2735E-02 1.3958E-02 7.7904E-03 7.4158E-03 1.0495E-02 8.5977E-03 7.1908E-03 1.6428E-02 1.4275E-02 8.3262E-03 7.5093E-03 6.2055E-03 7.0392E-03 4.7317E-03 2.6824E-03 7.4361E-03,,,,,,,,
53,,,,,,,,,,5.4000E+01 6.2930E+01 7.6013E-03 8.7398E-03 9.4786E-03 1.2497E-02 1.0377E-02 1.0008E-02 9.7777E-03 1.2807E-02 9.6959E-03 1.0605E-02 6.6130E-03 8.1534E-03 7.8235E-03 1.4635E-02 1.2330E-02 6.3485E-03 7.2567E-03 1.4009E-02 7.8678E-03 6.7080E-03,,,,,,,,
54,,,,,,,,,,5.5000E+01 6.4110E+01 1.0225E-02 7.1838E-03 1.0895E-02 4.4918E-03 6.5839E-03 1.0987E-02 8.5560E-03 8.7850E-03 9.4988E-03 1.2828E-02 6.6764E-03 1.0384E-02 9.9551E-03 7.4806E-03 5.6161E-03 1.0410E-02 1.1106E-02 1.6504E-02 9.1559E-03 8.3872E-03,,,,,,,,
55,,,,,,,,,,5.6000E+01 6.5280E+01 5.7895E-03 1.0291E-02 1.2345E-02 1.2491E-02 1.5202E-02 8.0431E-03 8.2484E-03 1.0070E-02 8.0915E-03 8.1635E-03 1.1011E-02 6.6918E-03 6.4482E-03 7.0587E-03 6.6938E-03 7.5115E-03 6.1986E-03 7.2795E-03 1.2658E-02 9.8422E-03,,,,,,,,
56,,,,,,,,,,5.7000E+01 6.6460E+01 5.9654E-03 1.1764E-02 8.7983E-03 8.3933E-03 7.4612E-03 8.2557E-03 6.4009E-03 7.3945E-03 7.9878E-03 6.0489E-03 3.9493E-03 9.9835E-03 6.0348E-03 9.2623E-03 9.6380E-03 3.6149E-03 7.4964E-03 7.7335E-03 1.1916E-02 7.2946E-03,,,,,,,,
57,,,,,,,,,,5.8000E+01 6.7640E+01 1.0394E-02 1.2142E-02 6.0050E-03 7.7609E-03 8.5111E-03 8.7457E-03 7.6955E-03 9.3364E-03 1.2108E-02 5.2960E-03 8.4764E-03 9.4611E-03 1.1906E-02 1.0246E-02 6.1400E-03 5.9593E-03 6.8324E-03 7.5025E-03 7.4325E-03 7.9844E-03,,,,,,,,
58,,,,,,,,,,5.9000E+01 6.8810E+01 6.9985E-03 6.4767E-03 7.3069E-03 7.3735E-03 9.9076E-03 5.2366E-03 8.9349E-03 8.2228E-03 7.3109E-03 8.2983E-03 1.4099E-02 1.4158E-02 9.3115E-03 7.5023E-03 6.9025E-03 7.8427E-03 1.0564E-02 1.1296E-02 7.1439E-03 7.7202E-03,,,,,,,,
59,,,,,,,,,,6.0000E+01 6.9990E+01 5.2136E-03 7.6481E-03 8.7452E-03 1.0570E-02 9.0274E-03 5.7568E-03 5.6818E-03 9.4817E-03 9.9246E-03 1.0229E-02 8.6511E-03 1.1945E-02 8.3294E-03 6.8759E-03 9.3951E-03 9.9788E-03 9.9657E-03 6.7207E-03 1.2544E-02 9.2437E-03,,,,,,,,
60,,,,,,,,,,6.1000E+01 7.1170E+01 8.7975E-03 1.0635E-02 1.1351E-02 1.1991E-02 1.0788E-02 1.0553E-02 9.5768E-03 9.4396E-03 6.9942E-03 6.3130E-03 8.1849E-03 5.9636E-03 9.1019E-03 7.5392E-03 3.8506E-03 6.5781E-03 1.2334E-02 8.3403E-03 1.0322E-02 8.2552E-03,,,,,,,,
61,,,,,,,,,,6.2000E+01 7.2340E+01 8.2091E-03 7.7461E-03 8.8719E-03 1.0901E-02 5.4752E-03 6.9505E-03 9.0079E-03 9.5335E-03 5.2483E-03 5.5550E-03 8.3205E-03 7.4981E-03 5.4710E-03 7.4945E-03 8.0948E-03 8.5971E-03 6.3668E-03 8.3890E-03 7.1715E-03 9.9883E-03,,,,,,,,
62,,,,,,,,,,6.3000E+01 7.3520E+01 9.2782E-03 9.1025E-03 9.1174E-03 7.6114E-03 6.3763E-03 9.9251E-03 5.2866E-03 7.0955E-03 8.9328E-03 9.0068E-03 8.7016E-03 1.1013E-02 4.3863E-03 1.1237E-02 1.0989E-02 1.0807E-02 1.0411E-02 1.1092E-02 7.4055E-03 7.7915E-03,,,,,,,,
63,,,,,,,,,,6.4000E+01 7.4690E+01 9.4797E-03 1.0013E-02 6.0675E-03 8.7177E-03 1.1534E-02 8.0351E-03 1.0159E-02 8.7535E-03 7.0861E-03 7.6264E-03 7.2107E-03 6.7244E-03 7.9225E-03 5.0399E-03 7.7849E-03 8.5022E-03 5.3438E-03 5.3353E-03 6.7304E-03 2.7780E-03,,,,,,,,
0,,,,,,,,,,1.0000E+00 5.8810E-01 4.4287E-01 1.1475E-01 1.2075E-01 1.9715E-01 1.4423E-01 1.3369E-01 1.5721E-01 7.7605E-02 8.4453E-02 9.6805E-02 9.8741E-02 8.6106E-02 1.0483E-01 8.9553E-02 8.0956E-02 8.0719E-02 9.4975E-02 8.3137E-02 5.8483E-02 8.1519E-02,,,,,,,,
1,,,,,,,,,,2.0000E+00 1.7640E+00 1.8129E-01 1.2617E-01 1.9087E-01 9.6943E-02 9.4312E-02 9.5911E-02 1.2642E-01 7.9478E-02 1.1960E-01 8.3431E-02 8.2808E-02 6.3075E-02 7.7172E-02 1.0273E-01 4.1707E-02 5.3096E-02 5.5921E-02 3.5480E-02 9.4331E-02 6.6751E-02,,,,,,,,
2,,,,,,,,,,3.0000E+00 2.9410E+00 2.1937E-01 2.1031E-01 1.2422E-01 1.7650E-01 1.0845E-01 1.2469E-01 9.4637E-02 6.5825E-02 1.0394E-01 5.5486E-02 6.8064E-02 4.6509E-02 5.6122E-02 8.4881E-02 4.3582E-02 5.6550E-02 4.4593E-02 5.5695E-02 4.9207E-02 4.8349E-02,,,,,,,,
3,,,,,,,,,,4.0000E+00 4.1170E+00 1.3955E-01 2.4571E-01 1.5891E-01 1.5992E-01 9.8636E-02 1.1249E-01 9.2535E-02 8.0272E-02 8.3053E-02 7.4202E-02 8.3605E-02 4.9550E-02 5.9960E-02 4.3082E-02 8.2214E-02 6.1458E-02 7.4764E-02 6.8199E-02 5.3240E-02 4.4555E-02,,,,,,,,
4,,,,,,,,,,5.0000E+00 5.2930E+00 1.8068E-01 1.5512E-01 1.3072E-01 9.4414E-02 8.4873E-02 8.7312E-02 1.3240E-01 1.0306E-01 9.1377E-02 3.2296E-02 4.0913E-02 8.0449E-02 9.6488E-02 8.5399E-02 7.6999E-02 1.0442E-01 7.2138E-02 8.6121E-02 4.5308E-02 4.8698E-02,,,,,,,,
5,,,,,,,,,,6.0000E+00 6.4700E+00 1.2639E-01 1.4359E-01 1.6710E-01 1.4251E-01 6.3534E-02 7.9483E-02 1.0733E-01 4.1089E-02 1.1730E-01 8.0346E-02 8.7737E-02 4.8756E-02 3.9508E-02 6.0978E-02 5.5953E-02 7.0065E-02 7.8387E-02 6.8261E-02 3.6999E-02 4.9937E-02,,,,,,,,
6,,,,,,,,,,7.0000E+00 7.6460E+00 1.5162E-01 2.0481E-01 2.3626E-01 1.6619E-01 1.0408E-01 1.2036E-01 4.4437E-02 7.7315E-02 7.5038E-02 1.2916E-01 6.3986E-02 7.8167E-02 6.0388E-02 7.7742E-02 5.2396E-02 9.0480E-02 6.9874E-02 7.2985E-02 7.3418E-02 6.8842E-02,,,,,,,,
7,,,,,,,,,,8.0000E+00 8.8220E+00 8.3877E-02 2.4079E-01 1.8233E-01 7.5122E-02 7.8430E-02 8.1894E-02 7.1598E-02 8.1674E-02 7.7329E-02 9.9521E-02 7.1037E-02 5.6227E-02 1.2554E-01 7.5985E-02 7.8803E-02 9.5356E-02 6.7459E-02 8.6281E-02 5.2210E-02 6.0830E-02,,,,,,,,
8,,,,,,,,,,9.0000E+00 9.9990E+00 6.7083E-02 1.5878E-01 1.9482E-01 1.1670E-01 7.5942E-02 7.0572E-02 1.1569E-01 1.0083E-01 8.5415E-02 5.1670E-02 1.3243E-01 4.9721E-02 4.3620E-02 8.4958E-02 6.8872E-02 4.9187E-02 7.4767E-02 9.1054E-02 6.8226E-02 4.5848E-02,,,,,,,,
9,,,,,,,,,,1.0000E+01 1.1170E+01 7.5675E-02 1.5437E-01 2.8476E-01 1.1835E-01 1.1490E-01 8.1470E-02 1.5421E-01 1.1516E-01 7.8285E-02 7.0218E-02 6.7285E-02 6.4971E-02 6.8043E-02 4.2326E-02 3.3613E-02 4.5940E-02 2.9921E-02 5.9217E-02 5.3630E-02 5.2657E-02,,,,,,,,
10,,,,,,,,,,1.1000E+01 1.2350E+01 7.7665E-02 1.1012E-01 2.5601E-01 1.8259E-01 4.8389E-02 9.5239E-02 1.0534E-01 8.5166E-02 5.9937E-02 7.2094E-02 6.8904E-02 7.5536E-02 9.6035E-02 6.7065E-02 1.0348E-01 5.7538E-02 6.9224E-02 7.8587E-02 9.1730E-02 4.8227E-02,,,,,,,,
11,,,,,,,,,,1.2000E+01 1.3530E+01 4.0473E-02 8.4403E-02 1.7888E-01 1.6251E-01 1.8495E-01 6.7850E-02 9.5310E-02 9.8560E-02 9.2359E-02 4.2663E-02 6.8708E-02 5.4574E-02 8.1109E-02 6.8157E-02 7.8636E-02 6.6374E-02 8.8791E-02 8.7134E-02 7.9553E-02 4.9376E-02,,,,,,,,
12,,,,,,,,,,1.3000E+01 1.4700E+01 6.0400E-02 5.1298E-02 1.7044E-01 1.6351E-01 1.6041E-01 1.1074E-01 1.3859E-01 1.6987E-01 8.4923E-02 7.3084E-02 7.4160E-02 6.9317E-02 6.3574E-02 1.1196E-01 5.2368E-02 7.2179E-02 7.4812E-02 5.8526E-02 4.9562E-02 6.5907E-02,,,,,,,,
